University Library (OV),Redwood Hall (RE),University Student Union (USU),Campus Store Complex (CSC),Jacaranda Hall (JD),Sierra Hall (SH),Parking Lot B1 (PL:B1),Parking Lot and Structure B3 (PLPS:B3),Parking Lot B4 (PL:B4),Parking Lot and Structure B5 (PLPS:B5),Parking Lot B6 (PL:B6),Parking Lots C6 and D6 (PL:C6D6),Parking Lot F5 (PL:F5),Parking Structure G3 (PS:G3),Parking Structure G6 (PS:G6)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.44,9.17,1.37,3.42,9.87,2,31.9642188,27.7764863,14.9374971,36.4417734,13.5655098,12.1145791,10.6750996,15.1740732,26.90975
22.53,33.14,4.6,11.41,36.27,6.66,187.817203,183.886031,85.6353594,222.473375,100.262547,72.7055547,86.6511172,105.097172,151.265828
29.19,38.05,3.89,10.93,44.11,4.31,329.306938,403.983219,172.472891,388.510281,227.224719,135.324828,181.892031,207.567422,266.807531
37.58,45.45,4.48,14.98,80.8,8.17,432.760094,613.209813,252.527922,520.919594,329.223438,181.9595,260.017656,292.535531,357.300281
284.25,437.61,67.9,155.2,386.66,97,486.937344,719.766063,299.540219,587.3185,388.8595,207.113766,305.695406,341.005813,405.919375
224.83,340.42,53.67,123.12,349.7,81.25,483.363938,740.447188,293.453531,585.201188,401.648125,207.583891,317.447531,348.161469,405.914313
200.86,253.91,42.89,24.65,270.2,72.89,428.863938,679.7395,254.129734,526.237,369.983781,179.883188,293.341563,318.912813,364.441375
30.15,34.42,3.97,12.1,42.2,6.67,324.243313,538.428375,187.254875,409.221156,282.485563,136.836313,208.156469,255.633297,285.965344
21.97,30.62,4.31,10.63,34.12,5.82,166.063016,309.881969,91.6635859,232.081531,148.325047,75.7985547,97.7907734,151.434125,165.096703
7.83,10.65,1.66,3.33,11.61,2.1,19.7684844,72.5275859,18.0093203,45.5962578,23.1974902,12.3535176,16.1599248,34.171082,34.4358711
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
